equation,equation_en
$ \ln ( 1/|\bar { p } _m| ) $, natural logarithm of open parenthesis 1 divided by vertical bar overline open brace p close brace subscript m vertical bar close parenthesis 
"$ AO_ { 1,4 } $", AO subscript open brace 1 comma 4 close brace 
$ e^S \sim T $, e to the power of S similar to T 
$ \mu=\mu_N $, mu equals mu subscript N 
$ \rm { m^3 { kg } ^ { -1 } s^ { -2 } } $, roman open brace m to the power of 3 open brace kg close brace to the power of open brace minus 1 close brace s to the power of open brace minus 2 close brace close brace 
$ should not exceed some threshold $, should not exceed some threshold 
"$ e ( V ( H ) , X ) \ge 3 $", e open parenthesis V open parenthesis H close parenthesis comma X close parenthesis greater than or equal to 3 
$ 0.0008653 ( ^ { +12 } _ { -10 } ) $, 0 point 0008653 open parenthesis to the power of open brace plus 12 close brace subscript open brace minus 10 close brace close parenthesis 
$ m_ { views } $, m subscript open brace views close brace 
$ \frac { |m| } { 2 } $, frac open brace vertical bar m vertical bar close brace open brace 2 close brace 
$ \rm { A } ( m ) $, roman open brace A close brace open parenthesis m close parenthesis 
$ \dd { P } = 0 $, differential open brace P close brace equals 0 
$ y=\theta_2=1 $, y equals theta subscript 2 equals 1 
$ nodes with the largest $, nodes with the largest 
$ m'_i\in M_i $, m' subscript i in M subscript i 
$ 0.527\pm 0.051 $, 0 point 527 plus or minus 0 point 051 
$ w_k=L_\gamma ( Ax_k+Bu_k ) $, w subscript k equals L subscript gamma open parenthesis Ax subscript k plus Bu subscript k close parenthesis 
$ 0 \leq C_\epsilon < \infty $, 0 less than or equal to C subscript epsilon less than infty 
$ { 50.84\ % } $, open brace 50 point 84 percent close brace 
$ E_2 ( \phi ( Z ' ) ) $, E subscript 2 open parenthesis phi open parenthesis Z ' close parenthesis close parenthesis 
$ a^\dagger_1a^\dagger_3a_1a_3 $, a to the power of dagger subscript 1a to the power of dagger subscript 3a subscript 1a subscript 3 
$ be the class of neural networks with the same architecture as those in $, be the class of neural networks with the same architecture as those in 
"$ . Thus , for each node $", point Thus comma for each node 
$ 1^M $, 1 to the power of M 
"$ \iota_ { i , i } $", iota subscript open brace i comma i close brace 
$ U=X ' $, U equals X ' 
$ and the same for versions of $, and the same for versions of 
$ < \ ! \ ! 1 $, less than factorial factorial 1 
$ K^\pm \to \pi^\pm \nu \bar { \nu } $, K to the power of plus or minus tends to pi to the power of plus or minus nu overline open brace nu close brace 
$ \Lambda^7 / ( 4 \pi H_0 m_P^4 ) $, Lambda to the power of 7 divided by open parenthesis 4 pi H subscript 0 m subscript P to the power of 4 close parenthesis 
"$ x , t= O ( A ) $", x comma t equals O open parenthesis A close parenthesis 
$ \chi_ { i-1 } \leq\chi\leq\chi_i $, chi subscript open brace i minus 1 close brace less than or equal to chi less than or equal to chi subscript i 
$ Mo ( G ) =1 $, Mo open parenthesis G close parenthesis equals 1 
$ p ( m+1 ) -1 $, p open parenthesis m plus 1 close parenthesis minus 1 
$ u\in \alpha $, u in alpha 
$ \chi_r^ { SCF+RR } -\chi_r^ { RR } $, chi subscript r to the power of open brace SCF plus RR close brace minus chi subscript r to the power of open brace RR close brace 
$ 's minimality ; and $, 's minimality semicolon and 
$ \Gamma_I $, Gamma subscript I 
"$ ( x_i , y_j ) \notin \partial \Omega $", open parenthesis x subscript i comma y subscript j close parenthesis not in partial Omega 
$ [ 0 ; \infty ] $, open bracket 0 semicolon infty close bracket 
$ \alpha_1-\epsilon_1 > \alpha_0 $, alpha subscript 1 minus epsilon subscript 1 greater than alpha subscript 0 
$ m2/m1 $, m2 divided by m1 
"$ , and is expressed as $", comma and is expressed as 
$ O ( n^2+2^m ) $, O open parenthesis n to the power of 2 plus 2 to the power of m close parenthesis 
$ Var ( D_ { i1 } ) = ( 2\sigma_t^2 + \sigma_r^2 ) /8 $, Var open parenthesis D subscript open brace i1 close brace close parenthesis equals open parenthesis 2 sigma subscript t to the power of 2 plus sigma subscript r to the power of 2 close parenthesis divided by 8 
$ S_ { key } $, S subscript open brace key close brace 
"$ \Psi_1 ( r_1 , \mu , \phi ) $", Psi subscript 1 open parenthesis r subscript 1 comma mu comma phi close parenthesis 
$ \sigma : = 2\theta_m\eta^2 L_\kappa^2L_\theta\tau $, sigma colon equals 2 theta subscript m eta to the power of 2 L subscript kappa to the power of 2L subscript theta tau 
$ \alpha_1=i_ * u_ { i^ * M } $, alpha subscript 1 equals i subscript times u subscript open brace i to the power of times M close brace 
"$ V^ { ( k ) } ( 0 , \cdot , s_0 , y_0 ) $", V to the power of open brace open parenthesis k close parenthesis close brace open parenthesis 0 comma times comma s subscript 0 comma y subscript 0 close parenthesis 
"$ q^\mu= ( 0 , q,0,0 ) $", q to the power of mu equals open parenthesis 0 comma q comma 0 comma 0 close parenthesis 
$ t = 3/c_4 $, t equals 3 divided by c subscript 4 
$ t < n $, t less than n 
$ y_t=1/\nu=1 $, y subscript t equals 1 divided by nu equals 1 
$ fa \in A $, fa in A 
$ z_J : = ( 1-|J| ) \xi_J $, z subscript J colon equals open parenthesis 1 minus vertical bar J vertical bar close parenthesis xi subscript J 
$ V ( Z_2 ) \sim V ( Z_4 ) $, V open parenthesis Z subscript 2 close parenthesis similar to V open parenthesis Z subscript 4 close parenthesis 
$ m_V=22.3 $, m subscript V equals 22 point 3 
$ ( \eta/M_ { \rm pl } ) ^3 $, open parenthesis eta divided by M subscript open brace roman pl close brace close parenthesis to the power of 3 
"$ \intset=\ { 3,4\ } $", intset equals open brace 3 comma 4 close brace 
$ D\in ( N\cup U ) $, D in open parenthesis N union U close parenthesis 
$ R_1 > 1/2 $, R subscript 1 greater than 1 divided by 2 
$ \nabla ( f ) = \delta_ { A } ( f ) - \epsilon_ { A } ( f ) $, nabla open parenthesis f close parenthesis equals delta subscript open brace A close brace open parenthesis f close parenthesis minus epsilon subscript open brace A close brace open parenthesis f close parenthesis 
"$ connected components , each of which corresponds to the interaction vertex $", connected components comma each of which corresponds to the interaction vertex 
$ p_3^2 = 0 $, p subscript 3 to the power of 2 equals 0 
$ become simply $, become simply 
$ \alpha > -1.8 $, alpha greater than minus 1 point 8 
"$ X ( t , p ) = X_t ( p ) $", X open parenthesis t comma p close parenthesis equals X subscript t open parenthesis p close parenthesis 
$ c=\pm\frac { d } { 2 } $, c equals plus or minus frac open brace d close brace open brace 2 close brace 
$ x_1 \geq 1+\frac { \omega ( 16c_RR^2+100 ) } { d_1 } $, x subscript 1 greater than or equal to 1 plus frac open brace omega open parenthesis 16c subscript RR to the power of 2 plus 100 close parenthesis close brace open brace d subscript 1 close brace 
$ \delta \leq T_ { \delta } \leq \frac { 1 } { \delta } $, delta less than or equal to T subscript open brace delta close brace less than or equal to frac open brace 1 close brace open brace delta close brace 
$ A\cap D ( v_i ) $, A intersection D open parenthesis v subscript i close parenthesis 
"$ A ( x , y ) $", A open parenthesis x comma y close parenthesis 
$ 1.54 \pm 0.09 $, 1 point 54 plus or minus 0 point 09 
$ 4/20 $, 4 divided by 20 
$ C=C ( P ) > 0 $, C equals C open parenthesis P close parenthesis greater than 0 
$ \bar { B } ^A_\infty ( E ) $, overline open brace B close brace to the power of A subscript infty open parenthesis E close parenthesis 
"$ e ( x_k , u_k ) $", e open parenthesis x subscript k comma u subscript k close parenthesis 
$ 1.34 \pm 0.12 $, 1 point 34 plus or minus 0 point 12 
$ \Omega_ { { m } } $, Omega subscript open brace open brace m close brace close brace 
$ \ln { 2 } /3 $, natural logarithm of open brace 2 close brace divided by 3 
$ Q ( g^ { -1 } ) = \ { h^ { -1 } : h \in Q ( g ) \ } $, Q open parenthesis g to the power of open brace minus 1 close brace close parenthesis equals open brace h to the power of open brace minus 1 close brace colon h in Q open parenthesis g close parenthesis close brace 
"$ i_j=j , j\in [ q ] $", i subscript j equals j comma j in open bracket q close bracket 
$ 5.365\cdot 10^ { 2 } $, 5 point 365 times 10 to the power of open brace 2 close brace 
$ _ { -1082 } ^ { +1199 } $, subscript open brace minus 1082 close brace to the power of open brace plus 1199 close brace 
"$ f\in L^1 ( E , \rho ) $", f in L to the power of 1 open parenthesis E comma rho close parenthesis 
$ 200d $, 200d 
$ X_ { t - i } $, X subscript open brace t minus i close brace 
$ u= ( 13254 ) $, u equals open parenthesis 13254 close parenthesis 
"$ is a vector of covariates , % the $", is a vector of covariates comma percent the 
$ k_j > k_ { j+1 } $, k subscript j greater than k subscript open brace j plus 1 close brace 
$ 10 \ { \rm \mu s } $, 10 open brace roman mu s close brace 
"$ \ { 123,345,561\ } $", open brace 123 comma 345 comma 561 close brace 
$ \eta ( G ) < 2 $, eta open parenthesis G close parenthesis less than 2 
$ T_ { \Phi^t x } F_ { k+1 } $, T subscript open brace Phi to the power of t x close brace F subscript open brace k plus 1 close brace 
$ { Q/M=1 } $, open brace Q divided by M equals 1 close brace 
"$ \ { x_ { k , j } '\ } _k $", open brace x subscript open brace k comma j close brace ' close brace subscript k 
$ m_ { EC } $, m subscript open brace EC close brace 
$ \lambda : V \to X $, lambda colon V tends to X 
"$ |p_1 ( y , z ) |_\infty $", vertical bar p subscript 1 open parenthesis y comma z close parenthesis vertical bar subscript infty 
$ D=q_1+q_2 $, D equals q subscript 1 plus q subscript 2 
"$ ( -2g+1 , +\infty ) $", open parenthesis minus 2g plus 1 comma plus infty close parenthesis 
"$ b= [ b_0 , b_1 , b_2 ] $", b equals open bracket b subscript 0 comma b subscript 1 comma b subscript 2 close bracket 
"$ ( \nabla f , N ) $", open parenthesis nabla f comma N close parenthesis 
$ v_1w\in E ( C ' ) $, v subscript 1w in E open parenthesis C ' close parenthesis 
$ P_3^s $, P subscript 3 to the power of s 
$ ( 44k + 65 ) \cdot 10^6 $, open parenthesis 44k plus 65 close parenthesis times 10 to the power of 6 
"$ { \rm Im } \ , \omega^\alpha ( V ) \subset V^\alpha $", open brace roman Im close brace comma omega to the power of alpha open parenthesis V close parenthesis strict subset of V to the power of alpha 
"$ I_ { ( V , \psi ) } ( k ) $", I subscript open brace open parenthesis V comma psi close parenthesis close brace open parenthesis k close parenthesis 
$ 95.2\ % $, 95 point 2 percent 
$ O ( x^ { 33 } ) $, O open parenthesis x to the power of open brace 33 close brace close parenthesis 
$ P ( H_1^ { ( t ) } ) =P ( H_ { M+1 } ^ { ( t ) } ) =1 $, P open parenthesis H subscript 1 to the power of open brace open parenthesis t close parenthesis close brace close parenthesis equals P open parenthesis H subscript open brace M plus 1 close brace to the power of open brace open parenthesis t close parenthesis close brace close parenthesis equals 1 
$ k_ { 1 } = ptxyz \sin 2\theta $, k subscript open brace 1 close brace equals ptxyz sine of 2 theta 
"$ b= ( p ( a ) , q ( a ) ) $", b equals open parenthesis p open parenthesis a close parenthesis comma q open parenthesis a close parenthesis close parenthesis 
$ 25.33\pm0.04 $, 25 point 33 plus or minus 0 point 04 
$ \omega\cdot n+m $, omega times n plus m 
"$ x^ { R } \in C [ 0,1 ] $", x to the power of open brace R close brace in C open bracket 0 comma 1 close bracket 
$ GF ( 2^ { n - t } ) $, GF open parenthesis 2 to the power of open brace n minus t close brace close parenthesis 
$ \pm q ' $, plus or minus q ' 
$ coordinates where $, coordinates where 
"$ H ( x , y , z ) $", H open parenthesis x comma y comma z close parenthesis 
$ p\in\Sigma_- ( s ) $, p in Sigma subscript minus open parenthesis s close parenthesis 
"$ a , b\in k [ [ t^\Gamma ] ] $", a comma b in k open bracket open bracket t to the power of Gamma close bracket close bracket 
$ \mu_ { M/L } $, mu subscript open brace M divided by L close brace 
$ O ( r_c ) $, O open parenthesis r subscript c close parenthesis 
$ J_z=-1 $, J subscript z equals minus 1 
$ { Y } _ { \rm I } $, open brace Y close brace subscript open brace roman I close brace 
$ u_1 + \cdots + u_n = 1 $, u subscript 1 plus times s plus u subscript n equals 1 
$ \chi= ( I_sR_L ) / ( 2\rho V_ { th } ) $, chi equals open parenthesis I subscript sR subscript L close parenthesis divided by open parenthesis 2 rho V subscript open brace th close brace close parenthesis 
$ \psi ( Z ) > \psi ( Y ) $, psi open parenthesis Z close parenthesis greater than psi open parenthesis Y close parenthesis 
$ v ( c_ { i+1 } ^ { * } ) \geq v ( c_ { i } ^ { * } ) $, v open parenthesis c subscript open brace i plus 1 close brace to the power of open brace times close brace close parenthesis greater than or equal to v open parenthesis c subscript open brace i close brace to the power of open brace times close brace close parenthesis 
$ E_1 ( r ) $, E subscript 1 open parenthesis r close parenthesis 
$ ( x_B-1 ) $, open parenthesis x subscript B minus 1 close parenthesis 
$ \tau_ { ep } $, tau subscript open brace ep close brace 
$ r ( x ) \to +\infty $, r open parenthesis x close parenthesis tends to plus infty 
"$ x_1 , \cdots , x_ { 18 } , A_1 , W_1 , W_3 $", x subscript 1 comma times s comma x subscript open brace 18 close brace comma A subscript 1 comma W subscript 1 comma W subscript 3 
$ \frac { \displaystyle { s_n } } { \displaystyle { t_n } } $, frac open brace displaystyle open brace s subscript n close brace close brace open brace displaystyle open brace t subscript n close brace close brace 
$ S_k^N $, S subscript k to the power of N 
$ g=g ( z ) $, g equals g open parenthesis z close parenthesis 
"$ z^ { \alpha } \omega^S ( z , t ) $", z to the power of open brace alpha close brace omega to the power of S open parenthesis z comma t close parenthesis 
$ 0.9963_ { -0.0080 } ^ { +0.0033 } $, 0 point 9963 subscript open brace minus 0 point 0080 close brace to the power of open brace plus 0 point 0033 close brace 
$ A+k_hBC\neq \alpha I $, A plus k subscript hBC not equal to alpha I 
$ a ( a \geq 4 ) $, a open parenthesis a greater than or equal to 4 close parenthesis 
$ 2.53^ { +0.51 } _ { -0.22 } $, 2 point 53 to the power of open brace plus 0 point 51 close brace subscript open brace minus 0 point 22 close brace 
$ q_2\in Q_2 $, q subscript 2 in Q subscript 2 
$ \log p_i $, logarithm of p subscript i 
"$ f=f_ { e , h } $", f equals f subscript open brace e comma h close brace 
$ 2\kappa \geq \kappa $, 2 kappa greater than or equal to kappa 
$ 0.02248\pm0.00016 $, 0 point 02248 plus or minus 0 point 00016 
"$ , denote the obtained coefficient estimates as $", comma denote the obtained coefficient estimates as 
$ -0.21\pm0.14 $, minus 0 point 21 plus or minus 0 point 14 
"$ \Sigma ( g_1 , g_2 ) =\Sigma ( g_2 , g_1 ) ^ { -1 } $", Sigma open parenthesis g subscript 1 comma g subscript 2 close parenthesis equals Sigma open parenthesis g subscript 2 comma g subscript 1 close parenthesis to the power of open brace minus 1 close brace 
$ ^ { +0.14 } _ { -0.04 } $, to the power of open brace plus 0 point 14 close brace subscript open brace minus 0 point 04 close brace 
$ = { 4\pi } { ( |f_2|^2-|f_1|^2 ) } $, equals open brace 4 pi close brace open brace open parenthesis vertical bar f subscript 2 vertical bar to the power of 2 minus vertical bar f subscript 1 vertical bar to the power of 2 close parenthesis close brace 
$ z=k ( x-ct ) $, z equals k open parenthesis x minus ct close parenthesis 
$ 1.768 \cdot 10^ { -3 } $, 1 point 768 times 10 to the power of open brace minus 3 close brace 
"$ I\subset ( 0,1 ) $", I strict subset of open parenthesis 0 comma 1 close parenthesis 
$ a \leq Y \leq b $, a less than or equal to Y less than or equal to b 
$ t_ { \rm } $, t subscript open brace roman close brace 
$ H_2^ { ( \omega ) } $, H subscript 2 to the power of open brace open parenthesis omega close parenthesis close brace 
$ e_t\notin E_C $, e subscript t not in E subscript C 
$ x=\psi ( a ) \infty $, x equals psi open parenthesis a close parenthesis infty 
$ x^2 - B_\pm v^2 $, x to the power of 2 minus B subscript plus or minus v to the power of 2 
$ i_ { b-1 } $, i subscript open brace b minus 1 close brace 
"$ \alpha , \ , \beta\in\ { e , \ , \mu , \ , \tau\ } $", alpha comma comma beta in open brace e comma comma mu comma comma tau close brace 
$ A_ { ik } = -A_ { ki } $, A subscript open brace ik close brace equals minus A subscript open brace ki close brace 
$ y\in \partial Y_ { k+1 } $, y in partial Y subscript open brace k plus 1 close brace 
$ \tau=14 $, tau equals 14 
$ { { \mu } _ { curv } } =0.7 $, open brace open brace mu close brace subscript open brace curv close brace close brace equals 0 point 7 
"$ T_ { 1,1 } /\omega_m $", T subscript open brace 1 comma 1 close brace divided by omega subscript m 
$ p ( \eta ) $, p open parenthesis eta close parenthesis 
$ \sigma ( \gamma_i ) = \gamma_i $, sigma open parenthesis gamma subscript i close parenthesis equals gamma subscript i 
$ \xi\cdot\xi=-1 $, xi times xi equals minus 1 
$ ( i_G ) _ * $, open parenthesis i subscript G close parenthesis subscript times 
$ -0.444\pm 0.012 $, minus 0 point 444 plus or minus 0 point 012 
$ ( inside the integral $, open parenthesis inside the integral 
"$ U-X- ( Y_1 , Y_2 ) $", U minus X minus open parenthesis Y subscript 1 comma Y subscript 2 close parenthesis 
"$ S_b ( h_n , h_n , h ) \to 0 $", S subscript b open parenthesis h subscript n comma h subscript n comma h close parenthesis tends to 0 
$ \xi_T=g_T ( S_T ) $, xi subscript T equals g subscript T open parenthesis S subscript T close parenthesis 
$ b_2'=v_2 $, b subscript 2' equals v subscript 2 
$ \lambda ( p_i ; x_i ) $, lambda open parenthesis p subscript i semicolon x subscript i close parenthesis 
"$ c_ { j , d } ( \beta ) $", c subscript open brace j comma d close brace open parenthesis beta close parenthesis 
$ GIC_ { a_n } $, GIC subscript open brace a subscript n close brace 
$ f^ * \Omega=\xi ( f ) \Omega $, f to the power of times Omega equals xi open parenthesis f close parenthesis Omega 
$ 59.8\pm 0.1 $, 59 point 8 plus or minus 0 point 1 
"$ \beta_X = ( 1,2,3,4 ) , \beta_V = ( 6,7,8,9,10 ) , \beta_Z = 5 $", beta subscript X equals open parenthesis 1 comma 2 comma 3 comma 4 close parenthesis comma beta subscript V equals open parenthesis 6 comma 7 comma 8 comma 9 comma 10 close parenthesis comma beta subscript Z equals 5 
$ \frac { 28 } 9 $, frac open brace 28 close brace 9 
$ C_0 ( X ) _L $, C subscript 0 open parenthesis X close parenthesis subscript L 
$ 3.10^ { +0.26 } _ { -0.19 } $, 3 point 10 to the power of open brace plus 0 point 26 close brace subscript open brace minus 0 point 19 close brace 
$ H= 9 $, H equals 9 
$ c '' ' ( u_4 ) =r $, c '' ' open parenthesis u subscript 4 close parenthesis equals r 
$ a\to 3\pi $, a tends to 3 pi 
$ 1 : P \to P $, 1 colon P tends to P 
"$ a_ { ijk } \in\ { 0,1\ } $", a subscript open brace ijk close brace in open brace 0 comma 1 close brace 
$ \phi^ { + } \phi^ { - } $, phi to the power of open brace plus close brace phi to the power of open brace minus close brace 
$ 26.51\ % $, 26 point 51 percent 
$ ( d_l^+ ) $, open parenthesis d subscript l to the power of plus close parenthesis 
"$ B=\ { 0,4,4i\ } $", B equals open brace 0 comma 4 comma 4i close brace 
$ \theta_ { v^ * } $, theta subscript open brace v to the power of times close brace 
$ 2|\sin ( p/2 ) |/\sin ( p/2 ) $, 2 vertical bar sine of open parenthesis p divided by 2 close parenthesis vertical bar divided by sine of open parenthesis p divided by 2 close parenthesis 
$ xy^ { 11 } $, xy to the power of open brace 11 close brace 
$ \epsilon_1 \propto a^ { -6 } $, epsilon subscript 1 proportional to a to the power of open brace minus 6 close brace 
$ 11.167 $, 11 point 167 
$ f_\sigma ( y^ { l_t } ) $, f subscript sigma open parenthesis y to the power of open brace l subscript t close brace close parenthesis 
$ consisting of generalized eigenvectors of $, consisting of generalized eigenvectors of 
$ \omega^ { \alpha } =a^ { \alpha } =0 $, omega to the power of open brace alpha close brace equals a to the power of open brace alpha close brace equals 0 
"$ given the SFC , $", given the SFC comma 
$ M_ { \mu \mu } =0 $, M subscript open brace mu mu close brace equals 0 
$ C : =\bar\mu ( V_a ) =\log\frac { a+1 } { a } $, C colon equals overline mu open parenthesis V subscript a close parenthesis equals logarithm of frac open brace a plus 1 close brace open brace a close brace 
"$ f_ { A,3-i } $", f subscript open brace A comma 3 minus i close brace 
"$ { { \rm { X } } _ { : ,i } } $", open brace open brace roman open brace X close brace close brace subscript open brace colon comma i close brace close brace 
$ $ \mu ( B_n^2 ) < ( 2+10^ { -12 } ) \mu ( B_n ) . $ $,  mu open parenthesis B subscript n to the power of 2 close parenthesis less than open parenthesis 2 plus 10 to the power of open brace minus 12 close brace close parenthesis mu open parenthesis B subscript n close parenthesis point  
$ f ( y_k ) =f ( \xi_2 ) $, f open parenthesis y subscript k close parenthesis equals f open parenthesis xi subscript 2 close parenthesis 
$ Q_ { 0.75 } $, Q subscript open brace 0 point 75 close brace 
$ \sim 900 - 1450 $, similar to 900 minus 1450 
$ \chi^ { \sigma } =\chi^ { \nu^k } $, chi to the power of open brace sigma close brace equals chi to the power of open brace nu to the power of k close brace 
$ \omega ( x_0 ) $, omega open parenthesis x subscript 0 close parenthesis 
$ 17^ { +3 } _ { -3 } $, 17 to the power of open brace plus 3 close brace subscript open brace minus 3 close brace 
"$ ( A , z , k ) $", open parenthesis A comma z comma k close parenthesis 
$ m^ * _k\in [ c ] $, m to the power of times subscript k in open bracket c close bracket 
"$ v \in [ v_+ , 1 ) $", v in open bracket v subscript plus comma 1 close parenthesis 
$ \partial D_t^i $, partial D subscript t to the power of i 
$ \Lambda_M^\beta $, Lambda subscript M to the power of beta 
$ 0.7450 $, 0 point 7450 
"$ k^P_ { \rm max,0 } $", k to the power of P subscript open brace roman max comma 0 close brace 
$ This of course satisfies the condition $, This of course satisfies the condition 
$ 0.779^ { +0.036 } _ { -0.034 } $, 0 point 779 to the power of open brace plus 0 point 036 close brace subscript open brace minus 0 point 034 close brace 
$ 0.032^ { +0.002 } _ { -0.002 } $, 0 point 032 to the power of open brace plus 0 point 002 close brace subscript open brace minus 0 point 002 close brace 
$ Ax ( t ) \in { \bf R } ^ { m } $, Ax open parenthesis t close parenthesis in open brace bold R close brace to the power of open brace m close brace 
$ ( 6/5 ) ^ { 1/3 } $, open parenthesis 6 divided by 5 close parenthesis to the power of open brace 1 divided by 3 close brace 
"$ ( \tau , \mu_ { \tau } ) : = ( 0 , \mu^0 ) $", open parenthesis tau comma mu subscript open brace tau close brace close parenthesis colon equals open parenthesis 0 comma mu to the power of 0 close parenthesis 
"$ 10^ { -16 } \ , erg\ , s^ { -1 } \ , cm^ { -2 } $", 10 to the power of open brace minus 16 close brace comma erg comma s to the power of open brace minus 1 close brace comma cm to the power of open brace minus 2 close brace 
"$ H_ { 1 , loc } ( k ) $", H subscript open brace 1 comma loc close brace open parenthesis k close parenthesis 
"$ c_ { j,1 } $", c subscript open brace j comma 1 close brace 
$ +0.000+0.000 i $, plus 0 point 000 plus 0 point 000 i 
$ \bar { \sigma } ^ { J_\tau } $, overline open brace sigma close brace to the power of open brace J subscript tau close brace 
"$ , the prismatic package $", comma the prismatic package 
"$ h_ { 2,0,6 } $", h subscript open brace 2 comma 0 comma 6 close brace 
"$ ( Q^a , R^a ) $", open parenthesis Q to the power of a comma R to the power of a close parenthesis 
$ 1\leq |u|\leq X^ { A } $, 1 less than or equal to vertical bar u vertical bar less than or equal to X to the power of open brace A close brace 
$ . % In atomic units we have $, point percent In atomic units we have 
"$ W ( E/K_ { i } , O_f ) _ { z_i } $", W open parenthesis E divided by K subscript open brace i close brace comma O subscript f close parenthesis subscript open brace z subscript i close brace 
"$ \Delta V = V ( i , x ) - V_i $", Delta V equals V open parenthesis i comma x close parenthesis minus V subscript i 
$ - ( \rho-1 ) ^2 $, minus open parenthesis rho minus 1 close parenthesis to the power of 2 
$ \xi_1\approx\frac { \xi } { \alpha } $, xi subscript 1 approximately equal to frac open brace xi close brace open brace alpha close brace 
"$ [ \gamma ] \leq [ \alpha ] , [ \beta ] $", open bracket gamma close bracket less than or equal to open bracket alpha close bracket comma open bracket beta close bracket 
$ f_1 ( x=2 ) $, f subscript 1 open parenthesis x equals 2 close parenthesis 
$ v_k > v'_k $, v subscript k greater than v' subscript k 
"$ A ( z , u , q ) $", A open parenthesis z comma u comma q close parenthesis 
$ -n_ { d } ^ { x } n_ { B } ^ { x+1 } $, minus n subscript open brace d close brace to the power of open brace x close brace n subscript open brace B close brace to the power of open brace x plus 1 close brace 
"$ e^1 , e^2 $", e to the power of 1 comma e to the power of 2 
$ L_U\leq7/32 $, L subscript U less than or equal to 7 divided by 32 
"$ x { \in } ] x^ * , x^ { * * } [ $", x open brace in close brace close bracket x to the power of times comma x to the power of open brace times times close brace open bracket 
$ denote the kernel of the homomorphism $, denote the kernel of the homomorphism 
$ \sigma = 2 \cdot 10^ { -3 } $, sigma equals 2 times 10 to the power of open brace minus 3 close brace 
"$ ( X , C , Y_1 , Y_0 ) $", open parenthesis X comma C comma Y subscript 1 comma Y subscript 0 close parenthesis 
"$ 20\ , \mu { \rm m } $", 20 comma mu open brace roman m close brace 
$ q^ { \sigma } ( y ) : = Q^ { \sigma } ( Y=y ) $, q to the power of open brace sigma close brace open parenthesis y close parenthesis colon equals Q to the power of open brace sigma close brace open parenthesis Y equals y close parenthesis 
