equation,equation_en
$ n\in \frac { 1 } { 2 } \mathbb { Z } . $,n \in frac open brace 1 close brace open brace 2 close brace \mathbb open brace Z close brace point
$ \mu=\mu_N $,\mu equals \mu subscript N
$ _\triangle $,subscript \triangle
$ \sqrt { k_x^\text { max } + k_y^\text { max } } $,\sqrt open brace k subscript x to the power of \text open brace max close brace plus k subscript y to the power of \text open brace max close brace close brace
"$ v ' \in V \setminus \Set { v , w } $",v ' \in V \setminus \Set open brace v comma w close brace
$ \rm { m^3 { kg } ^ { -1 } s^ { -2 } } $,\rm open brace m to the power of 3 open brace kg close brace to the power of open brace minus 1 close brace s to the power of open brace minus 2 close brace close brace
$ 59.53\phantom { ^ { * * * } } $,59 point 53 \phantom open brace to the power of open brace times times times close brace close brace
"$ { p } _ { \left [ t_1 , t_2\right ] } \in \mathbb { R } $",open brace p close brace subscript open brace \left open bracket t subscript 1 comma t subscript 2 \right close bracket close brace \in \mathbb open brace R close brace
$ \mathit { Small } $,\mathit open brace Small close brace
$ \ket { 00 } \ket { g } $,\ket open brace 00 close brace \ket open brace g close brace
"$ e ( V ( H ) , X ) \ge 3 $",e open parenthesis V open parenthesis H close parenthesis comma X close parenthesis \ge 3
$ \om_ { n+1 } =\xi_nxy \xi_ { n-1 } yx $,\om subscript open brace n plus 1 close brace equals \xi subscript nxy \xi subscript open brace n minus 1 close brace yx
$ r_ { \mathit { peri } } =a ( 1-e ) < a $,r subscript open brace \mathit open brace peri close brace close brace equals a open parenthesis 1 minus e close parenthesis less than a
"$ \epsilon^ { \eta , s } _m ( \ { \mathbf\ { k ) $",\epsilon to the power of open brace \eta comma s close brace subscript m open parenthesis \ open brace \mathbf \ open brace k close parenthesis
$ D_ { \mathrm { 3d } } =6\pi\eta R \approx 10^2 \mu\mbox { m } ^2/\mbox { s } $,D subscript open brace \mathrm open brace 3d close brace close brace equals 6 \pi \eta R \approx 10 to the power of 2 \mu \mbox open brace m close brace to the power of 2 divided by \mbox open brace s close brace
$ \rm { A } ( m ) $,\rm open brace A close brace open parenthesis m close parenthesis
$ u^\star=-K_ { k^\star } x+L_ { k^\star } v. $,u to the power of \star equals minus K subscript open brace k to the power of \star close brace x plus L subscript open brace k to the power of \star close brace v point
$ \dd { P } = 0 $,\dd open brace P close brace equals 0
$ y=\theta_2=1 $,y equals \theta subscript 2 equals 1
$ m'_i\in M_i $,m' subscript i \in M subscript i
"$ ( L , \d ) $",open parenthesis L comma \d close parenthesis
"$ \eta = ( \eta_1 , \dots , \eta_d ) ^T\in\mathbb { R } ^d $",\eta equals open parenthesis \eta subscript 1 comma \dots comma \eta subscript d close parenthesis to the power of T \in \mathbb open brace R close brace to the power of d
$ 0.527\pm 0.051 $,0 point 527 \pm 0 point 051
"$ r , s\in\Na $",r comma s \in \Na
$ a\propto\sqrt { t } $,a \propto \sqrt open brace t close brace
$ k_t\in \mathcal { H } _k $,k subscript t \in \mathcal open brace H close brace subscript k
$ \overline { { \vert \Delta u ( \tau ) \vert } ^ { m } } \neq m/3 $,\overline open brace open brace \vert \Delta u open parenthesis \tau close parenthesis \vert close brace to the power of open brace m close brace close brace \neq m divided by 3
$ w_k=L_\gamma ( Ax_k+Bu_k ) $,w subscript k equals L subscript \gamma open parenthesis Ax subscript k plus Bu subscript k close parenthesis
$ 0 \leq C_\epsilon < \infty $,0 \leq C subscript \epsilon less than \infty
$ \cT ( V^ * ) $,\cT open parenthesis V to the power of times close parenthesis
$ v_ { \last } ( B_k ) \leq h $,v subscript open brace \last close brace open parenthesis B subscript k close parenthesis \leq h
$ \tilde { v } _+^ { \rm bag } = 0.0039 $,\tilde open brace v close brace subscript plus to the power of open brace \rm bag close brace equals 0 point 0039
$ { 50.84\ % } $,open brace 50 point 84 \ percent close brace
$ E_2 ( \phi ( Z ' ) ) $,E subscript 2 open parenthesis \phi open parenthesis Z ' close parenthesis close parenthesis
$ a^\dagger_1a^\dagger_3a_1a_3 $,a to the power of \dagger subscript 1a to the power of \dagger subscript 3a subscript 1a subscript 3
$ \Aa = \zeta - 4\Bb $,\Aa equals \zeta minus 4 \Bb
$ \min\emptyset=0 $,\min \emptyset equals 0
"$ \sum_ { q=1 } ^ { Q } P_ { D , q } /Q $",\sum subscript open brace q equals 1 close brace to the power of open brace Q close brace P subscript open brace D comma q close brace divided by Q
"$ \iota_ { i , i } $",\iota subscript open brace i comma i close brace
$ \Delta^2= ( p_0-\iu \mu ) ^2 + \mstar^2 $,\Delta to the power of 2 equals open parenthesis p subscript 0 minus \iu \mu close parenthesis to the power of 2 plus \mstar to the power of 2
"$ \cP= ( P_1 , \cdots , P_k ) $",\cP equals open parenthesis P subscript 1 comma \cdots comma P subscript k close parenthesis
$ < \ ! \ ! 1 $,less than \ factorial \ factorial 1
$ K^\pm \to \pi^\pm \nu \bar { \nu } $,K to the power of \pm \to \pi to the power of \pm \nu \bar open brace \nu close brace
$ \Lambda^7 / ( 4 \pi H_0 m_P^4 ) $,\Lambda to the power of 7 divided by open parenthesis 4 \pi H subscript 0 m subscript P to the power of 4 close parenthesis
$ \vec { s } _q $,\vec open brace s close brace subscript q
$ \chi_ { i-1 } \leq\chi\leq\chi_i $,\chi subscript open brace i minus 1 close brace \leq \chi \leq \chi subscript i
$ \max_ { \ell } \frac { n_\ell^2 } { n_0 } \to 0 $,\max subscript open brace \ell close brace frac open brace n subscript \ell to the power of 2 close brace open brace n subscript 0 close brace \to 0
$ E_\text { QHA } $,E subscript \text open brace QHA close brace
$ \GCat $,\GCat
"$ \mathbf { G } = { \ { \mathbf { V } , \mathbf { E } \ } } $",\mathbf open brace G close brace equals open brace \ open brace \mathbf open brace V close brace comma \mathbf open brace E close brace \ close brace close brace
$ \hat { u } ^0 = \hat { [ P_ { \cX } u ( 0 ) ] } $,\hat open brace u close brace to the power of 0 equals \hat open brace open bracket P subscript open brace \cX close brace u open parenthesis 0 close parenthesis close bracket close brace
$ \mathcal { R } \equiv |\beta|^2/T $,\mathcal open brace R close brace \equiv vertical bar \beta vertical bar to the power of 2 divided by T
$ u\in \alpha $,u \in \alpha
"$ T\in \mc E ' ( \he n , E_0^ { h } ) $",T \in \mc E ' open parenthesis \he n comma E subscript 0 to the power of open brace h close brace close parenthesis
"$ is well-defined . In \S\ref { S-exi-Thm } , we prove that $",is well minus defined point In \S \ref open brace S minus exi minus Thm close brace comma we prove that
$ \chi_r^ { SCF+RR } -\chi_r^ { RR } $,\chi subscript r to the power of open brace SCF plus RR close brace minus \chi subscript r to the power of open brace RR close brace
$ 0.58 \le |k| < 0.78 $,0 point 58 \le vertical bar k vertical bar less than 0 point 78
$ \tilde { c } \approx\tfrac32 $,\tilde open brace c close brace \approx \tfrac 32
$ g^ { \varphi\varphi } $,g to the power of open brace \varphi \varphi close brace
$ N ( i ) =I\setminus \ { i\ } $,N open parenthesis i close parenthesis equals I \setminus \ open brace i \ close brace
$ \textnormal { null } ( \Psi ) =\bigcap_ { n_k > 0 } \mathcal { V } _k $,\textnormal open brace null close brace open parenthesis \Psi close parenthesis equals \bigcap subscript open brace n subscript k greater than 0 close brace \mathcal open brace V close brace subscript k
$ a\sim2.6\au $,a \sim 2 point 6 \au
$ \mD^ { \geq 0 } ( R ) $,\mD to the power of open brace \geq 0 close brace open parenthesis R close parenthesis
$ \Gamma_I $,\Gamma subscript I
"$ ( x_i , y_j ) \notin \partial \Omega $",open parenthesis x subscript i comma y subscript j close parenthesis \notin \partial \Omega
$ [ 0 ; \infty ] $,open bracket 0 semicolon \infty close bracket
$ V_\psi^\dagger V_\psi \neq \mathbb { 1 } $,V subscript \psi to the power of \dagger V subscript \psi \neq \mathbb open brace 1 close brace
$ H=\dot a ( t ) /a ( t ) $,H equals \dot a open parenthesis t close parenthesis divided by a open parenthesis t close parenthesis
$ \alpha_1-\epsilon_1 > \alpha_0 $,\alpha subscript 1 minus \epsilon subscript 1 greater than \alpha subscript 0
$ t_f < \frac { \rho_0-\rcap } { 1-\nu } $,t subscript f less than frac open brace \rho subscript 0 minus \rcap close brace open brace 1 minus \nu close brace
$ \varepsilon=e^ { -\eta't } $,\varepsilon equals e to the power of open brace minus \eta 't close brace
$ } \label { 2.2.1 } $,close brace \label open brace 2 point 2 point 1 close brace
"$ ( f_0 , f_1 ) \in \gF_\phi^2 $",open parenthesis f subscript 0 comma f subscript 1 close parenthesis \in \gF subscript \phi to the power of 2
$ \hat { D } ( \partial_\alpha ) $,\hat open brace D close brace open parenthesis \partial subscript \alpha close parenthesis
$ n_ { r\alpha } ^ { c_1 } \gg \log p $,n subscript open brace r \alpha close brace to the power of open brace c subscript 1 close brace \gg \log p
$ \varphi\vert_ { \partial_D\mathcal B } = \overline\varphi $,\varphi \vert subscript open brace \partial subscript D \mathcal B close brace equals \overline \varphi
$ \mathcal { I } ^ { Bic } $,\mathcal open brace I close brace to the power of open brace Bic close brace
$ H=G\cap\mathrm { SL } _ { n } $,H equals G \cap \mathrm open brace SL close brace subscript open brace n close brace
$ Var ( D_ { i1 } ) = ( 2\sigma_t^2 + \sigma_r^2 ) /8 $,Var open parenthesis D subscript open brace i1 close brace close parenthesis equals open parenthesis 2 \sigma subscript t to the power of 2 plus \sigma subscript r to the power of 2 close parenthesis divided by 8
$ \sum_ { j=1 } ^8 x_j=0 $,\sum subscript open brace j equals 1 close brace to the power of 8 x subscript j equals 0
"$ ( x+2a+c , y+d-b ) \in \N $",open parenthesis x plus 2a plus c comma y plus d minus b close parenthesis \in \N
$ z^\bob_1 $,z to the power of \bob subscript 1
$ ( \mu \pm \textrm { SE } ) = ( 74.4 \pm 1.2 ) \ % $,open parenthesis \mu \pm \textrm open brace SE close brace close parenthesis equals open parenthesis 74 point 4 \pm 1 point 2 close parenthesis \ percent
$ \tilde \gamma : =\nu ( \mu-2 ) +1 $,\tilde \gamma colon equals \nu open parenthesis \mu minus 2 close parenthesis plus 1
"$ \Psi_1 ( r_1 , \mu , \phi ) $",\Psi subscript 1 open parenthesis r subscript 1 comma \mu comma \phi close parenthesis
$ \sigma : = 2\theta_m\eta^2 L_\kappa^2L_\theta\tau $,\sigma colon equals 2 \theta subscript m \eta to the power of 2 L subscript \kappa to the power of 2L subscript \theta \tau
$ \ad ( f ) +\ad ( f ) ^ * $,\ad open parenthesis f close parenthesis plus \ad open parenthesis f close parenthesis to the power of times
$ \alpha_1=i_ * u_ { i^ * M } $,\alpha subscript 1 equals i subscript times u subscript open brace i to the power of times M close brace
$ g ( \textup\ { At { \mathsf\ B_\ { \ # 1 n } ) $,g open parenthesis \textup \ open brace At open brace \mathsf \ B subscript \ open brace \ hash 1 n close brace close parenthesis
"$ m=p_1\cdots p_\ell\in ( M,2M ] $",m equals p subscript 1 \cdots p subscript \ell \in open parenthesis M comma 2M close bracket
"$ V^ { ( k ) } ( 0 , \cdot , s_0 , y_0 ) $",V to the power of open brace open parenthesis k close parenthesis close brace open parenthesis 0 comma \cdot comma s subscript 0 comma y subscript 0 close parenthesis
$ U_i \in \mathcal\ { L $,U subscript i \in \mathcal \ open brace L
"$ q^\mu= ( 0 , q,0,0 ) $",q to the power of \mu equals open parenthesis 0 comma q comma 0 comma 0 close parenthesis
$ \mathbb { A } _m^ { ij } $,\mathbb open brace A close brace subscript m to the power of open brace ij close brace
$ \ov { \eta } = \rho + j \omega $,\ov open brace \eta close brace equals \rho plus j \omega
$ \boldsymbol\ { \mu^ { ( k+1 ) } $,\boldsymbol \ open brace \mu to the power of open brace open parenthesis k plus 1 close parenthesis close brace
"$ \vec { f } = ( f , g ) ' $",\vec open brace f close brace equals open parenthesis f comma g close parenthesis '
$ y_t=1/\nu=1 $,y subscript t equals 1 divided by \nu equals 1
$ P^\exists \colon \cat^ { op } \to { \bf MSLat } $,P to the power of \exists \colon \cat to the power of open brace op close brace \to open brace \bf MSLat close brace
$ g_u ( \nu ) =a_1 ( T ) \nu+\dots $,g subscript u open parenthesis \nu close parenthesis equals a subscript 1 open parenthesis T close parenthesis \nu plus \dots
$ y\in ( \varphi_\alpha ( \cF ) ) _\red $,y \in open parenthesis \varphi subscript \alpha open parenthesis \cF close parenthesis close parenthesis subscript \red
$ fa \in A $,fa \in A
$ \mathcal { K } _ { \sigma } $,\mathcal open brace K close brace subscript open brace \sigma close brace
$ \mathrm { v } ( 1 ) = \mathrm { viii } + \mathrm { ix } $,\mathrm open brace v close brace open parenthesis 1 close parenthesis equals \mathrm open brace viii close brace plus \mathrm open brace ix close brace
$ \pdv { } { [ \mathrm { a } _ { \mathrm { j } } ^ { ( i ) } | \sigma ] } $,\pdv open brace close brace open brace open bracket \mathrm open brace a close brace subscript open brace \mathrm open brace j close brace close brace to the power of open brace open parenthesis i close parenthesis close brace vertical bar \sigma close bracket close brace
$ \partial \mathfrak { P } $,\partial \mathfrak open brace P close brace
$ z_J : = ( 1-|J| ) \xi_J $,z subscript J colon equals open parenthesis 1 minus vertical bar J vertical bar close parenthesis \xi subscript J
$ V ( Z_2 ) \sim V ( Z_4 ) $,V open parenthesis Z subscript 2 close parenthesis \sim V open parenthesis Z subscript 4 close parenthesis
$ ( \eta/M_ { \rm pl } ) ^3 $,open parenthesis \eta divided by M subscript open brace \rm pl close brace close parenthesis to the power of 3
"$ \intset=\ { 3,4\ } $",\intset equals \ open brace 3 comma 4 \ close brace
$ \neighb_i \ldef \neigh_i \cup \ { i\ } $,\neighb subscript i \ldef \neigh subscript i \cup \ open brace i \ close brace
$ D\in ( N\cup U ) $,D \in open parenthesis N \cup U close parenthesis
$ S_ { \lmw } ^ { \ps } $,S subscript open brace \lmw close brace to the power of open brace \ps close brace
$ \hbar\omega < 0.2 $,\hbar \omega less than 0 point 2
$ \nabla ( f ) = \delta_ { A } ( f ) - \epsilon_ { A } ( f ) $,\nabla open parenthesis f close parenthesis equals \delta subscript open brace A close brace open parenthesis f close parenthesis minus \epsilon subscript open brace A close brace open parenthesis f close parenthesis
$ \alpha > -1.8 $,\alpha greater than minus 1 point 8
$ m_\ifinal\in \mathbb { N } $,m subscript \ifinal \in \mathbb open brace N close brace
"$ [ i_z , j_z ] \cap [ i_ { \ell } , j_ { \ell } ] =\emptyset $",open bracket i subscript z comma j subscript z close bracket \cap open bracket i subscript open brace \ell close brace comma j subscript open brace \ell close brace close bracket equals \emptyset
$ \iota : L^2 ( \tilde \Omega_1 ) \to L^2 ( \BR^ { 2d } ) $,\iota colon L to the power of 2 open parenthesis \tilde \Omega subscript 1 close parenthesis \to L to the power of 2 open parenthesis \BR to the power of open brace 2d close brace close parenthesis
$ \eqref { eq : ActionHlor } $,\eqref open brace eq colon ActionHlor close brace
$ c=\pm\frac { d } { 2 } $,c equals \pmfrac open brace d close brace open brace 2 close brace
$ W ( x ) = \sum_ { g \in G } W ( g ) x_g $,W open parenthesis x close parenthesis equals \sum subscript open brace g \in G close brace W open parenthesis g close parenthesis x subscript g
$ x_1 \geq 1+\frac { \omega ( 16c_RR^2+100 ) } { d_1 } $,x subscript 1 \geq 1 plus frac open brace \omega open parenthesis 16c subscript RR to the power of 2 plus 100 close parenthesis close brace open brace d subscript 1 close brace
$ \tilde { l_t^0 } $,\tilde open brace l subscript t to the power of 0 close brace
$ \V { \varepsilon } = \V { \varepsilon } ^\herm $,\V open brace \varepsilon close brace equals \V open brace \varepsilon close brace to the power of \herm
$ \gamma\gamma\rightarrow HH $,\gamma \gamma \rightarrow HH
"$ \Omega_2=\left\ { Z_1 > 0 , Z_2=0\right\ } $",\Omega subscript 2 equals \left \ open brace Z subscript 1 greater than 0 comma Z subscript 2 equals 0 \right \ close brace
"$ $ ( -W_1 , \ldots , -W_k ) : V^ { g ( v ) } \to \bC^ { n_- } $ $",open parenthesis minus W subscript 1 comma \ldots comma minus W subscript k close parenthesis colon V to the power of open brace g open parenthesis v close parenthesis close brace \to \bC to the power of open brace n subscript minus close brace
$ \delta \leq T_ { \delta } \leq \frac { 1 } { \delta } $,\delta \leq T subscript open brace \delta close brace \leq frac open brace 1 close brace open brace \delta close brace
$ A\cap D ( v_i ) $,A \cap D open parenthesis v subscript i close parenthesis
$ \mathbf { U } _p $,\mathbf open brace U close brace subscript p
$ \mathcal { L } _ { type } $,\mathcal open brace L close brace subscript open brace type close brace
"$ \mathbb X^- ( N , \vec v ) \neq\emptyset $",\mathbb X to the power of minus open parenthesis N comma \vec v close parenthesis \neq \emptyset
$ 1.54 \pm 0.09 $,1 point 54 \pm 0 point 09
$ \tilde Z K $,\tilde Z K
$ \bar { B } ^A_\infty ( E ) $,\bar open brace B close brace to the power of A subscript \infty open parenthesis E close parenthesis
$ \supp_3 ( a ) $,\supp subscript 3 open parenthesis a close parenthesis
$ U_\text { tot } $,U subscript \text open brace tot close brace
$ 1.34 \pm 0.12 $,1 point 34 \pm 0 point 12
$ \Omega_ { { m } } $,\Omega subscript open brace open brace m close brace close brace
$ \ln { 2 } /3 $,\ln open brace 2 close brace divided by 3
$ \Delta\alpha_4^ { \mathrm { AE\mbox { - } CC3 } } $,\Delta \alpha subscript 4 to the power of open brace \mathrm open brace AE \mbox open brace minus close brace CC3 close brace close brace
$ Q ( g^ { -1 } ) = \ { h^ { -1 } : h \in Q ( g ) \ } $,Q open parenthesis g to the power of open brace minus 1 close brace close parenthesis equals \ open brace h to the power of open brace minus 1 close brace colon h \in Q open parenthesis g close parenthesis \ close brace
$ \tilde P=\frac { P ( r ) } { r^\alpha } $,\tilde P equals frac open brace P open parenthesis r close parenthesis close brace open brace r to the power of \alpha close brace
$ \Aut ( P_C ) $,\Aut open parenthesis P subscript C close parenthesis
$ \Lambda^ { ( \Fc\Pc ) } ( F ) \in\Lc^ { ( \Fc\Pc ) } ( F ) $,\Lambda to the power of open brace open parenthesis \Fc \Pc close parenthesis close brace open parenthesis F close parenthesis \in \Lc to the power of open brace open parenthesis \Fc \Pc close parenthesis close brace open parenthesis F close parenthesis
$ N_ { \mathrm { exc } } =1 $,N subscript open brace \mathrm open brace exc close brace close brace equals 1
"$ i_j=j , j\in [ q ] $",i subscript j equals j comma j \in open bracket q close bracket
"$ x \in [ u , v ] _L \setminus [ u , w ] _L $",x \in open bracket u comma v close bracket subscript L \setminus open bracket u comma w close bracket subscript L
$ 5.365\cdot 10^ { 2 } $,5 point 365 \cdot 10 to the power of open brace 2 close brace
"$ \left [ k_0 , k_1\right ] $",\left open bracket k subscript 0 comma k subscript 1 \right close bracket
$ P^T\boldsymbol { r } ( t ) $,P to the power of T \boldsymbol open brace r close brace open parenthesis t close parenthesis
$ l|_ { A } : A\overset { \cong } { \rightarrow } A $,l vertical bar subscript open brace A close brace colon A \overset open brace \cong close brace open brace \rightarrow close brace A
"$ f\in L^1 ( E , \rho ) $",f \in L to the power of 1 open parenthesis E comma \rho close parenthesis
"$ B ( x , r ) \cap \cX_Q \subset \tilde { A } _r $",B open parenthesis x comma r close parenthesis \cap \cX subscript Q \subset \tilde open brace A close brace subscript r
$ \boldsymbol { \mu } _ { c } \in\mathbb { R } ^ { D } $,\boldsymbol open brace \mu close brace subscript open brace c close brace \in \mathbb open brace R close brace to the power of open brace D close brace
$ \bm g ( \bm \theta ) \leq 0 $,\bm g open parenthesis \bm \theta close parenthesis \leq 0
$ \hat { H } _ { \text { S-V } ^ { 2 } } $,\hat open brace H close brace subscript open brace \text open brace S minus V close brace to the power of open brace 2 close brace close brace
$ a_2-a_1-\ell < g_2-g_1 < a_2 - a_1 $,a subscript 2 minus a subscript 1 minus \ell less than g subscript 2 minus g subscript 1 less than a subscript 2 minus a subscript 1
$ \abs { x ( s ) } _v $,\abs open brace x open parenthesis s close parenthesis close brace subscript v
$ \varphi_\ell=81^\circ $,\varphi subscript \ell equals 81 to the power of \circ
$ \Mb_0 $,\Mb subscript 0
$ \widehat { \rho } ( \gamma ' ) : = \rho ( \beta^ { -1 } \gamma ' ) $,\widehat open brace \rho close brace open parenthesis \gamma ' close parenthesis colon equals \rho open parenthesis \beta to the power of open brace minus 1 close brace \gamma ' close parenthesis
"$ \bm { H } = ( H , \bm { k } , \bm { l } ) $",\bm open brace H close brace equals open parenthesis H comma \bm open brace k close brace comma \bm open brace l close brace close parenthesis
$ \vp ( ( g_n-1 ) ( x ) ) \in p^ { m+n } \OO_ { K_\infty } $,\vp open parenthesis open parenthesis g subscript n minus 1 close parenthesis open parenthesis x close parenthesis close parenthesis \in p to the power of open brace m plus n close brace \OO subscript open brace K subscript \infty close brace
$ \mathbf { E } \cdot\mathbf { B } =E_0B_0 $,\mathbf open brace E close brace \cdot \mathbf open brace B close brace equals E subscript 0B subscript 0
"$ \mathcal { M } ^H , $",\mathcal open brace M close brace to the power of H comma
"$ \nu_i = n_i/\hat { n } _i \in ( 0,1 ] = $",\nu subscript i equals n subscript i divided by \hat open brace n close brace subscript i \in open parenthesis 0 comma 1 close bracket equals
$ w_j^\ell $,w subscript j to the power of \ell
$ \Delta ( \sF ) A^ { n-2 } =0 $,\Delta open parenthesis \sF close parenthesis A to the power of open brace n minus 2 close brace equals 0
$ 10 \ { \rm \mu s } $,10 \ open brace \rm \mu s close brace
"$ \ { 123,345,561\ } $",\ open brace 123 comma 345 comma 561 \ close brace
$ E ( K ) \not\subseteq M $,E open parenthesis K close parenthesis \not \subseteq M
$ { \z } _ { ( T-2 ) } $,open brace \z close brace subscript open brace open parenthesis T minus 2 close parenthesis close brace
$ \eta ( G ) < 2 $,\eta open parenthesis G close parenthesis less than 2
$ T_ { \Phi^t x } F_ { k+1 } $,T subscript open brace \Phi to the power of t x close brace F subscript open brace k plus 1 close brace
$ \Exc ( \pi ) \subseteq ( f ' ) ^ { -1 } ( \Exc ( \mu ) ) $,\Exc open parenthesis \pi close parenthesis \subseteq open parenthesis f ' close parenthesis to the power of open brace minus 1 close brace open parenthesis \Exc open parenthesis \mu close parenthesis close parenthesis
$ \mathcal { E } ( . ) $,\mathcal open brace E close brace open parenthesis point close parenthesis
$ x_ { \text s } $,x subscript open brace \text s close brace
"$ \ { x_ { k , j } '\ } _k $",\ open brace x subscript open brace k comma j close brace ' \ close brace subscript k
$ \lambda : V \to X $,\lambda colon V \to X
"$ |p_1 ( y , z ) |_\infty $",vertical bar p subscript 1 open parenthesis y comma z close parenthesis vertical bar subscript \infty
