context_before,equation,context_after,eq_type,paper_number,paper_type,equation_len,equation_en,complete,rouge_scores,rouge_2,context_quality
but shrink the simulation domain to,$ L_B/\lambda_D\sim 10^3. $,% Consequently the,0,2312.08564,arxiv2023,27, L subscript B divided by lambda subscript D similar to 10 to the power of 3 point ,1,"{'rouge1': Score(precision=0.35294117647058826, recall=0.8571428571428571, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.35294117647058826, recall=0.8571428571428571, fmeasure=0.5)}",0.0,Bad
This implies that the projected number of binaries is about,$ 49^ { +18 } _ { -12 } $,among,0,2312.04751,arxiv2023,25, 49 to the power of open brace plus 18 close brace subscript open brace minus 12 close brace ,1,"{'rouge1': Score(precision=0.16666666666666666, recall=1.0, fmeasure=0.2857142857142857), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=1.0, fmeasure=0.2857142857142857)}",0.0,Bad
or,$ \ln ( 1/|\bar { p } _m| ) $,", where",0,2302.10243,arxiv2023,29, natural logarithm of open parenthesis 1 divided by vertical bar overline open brace p close brace subscript m vertical bar close parenthesis ,1,"{'rouge1': Score(precision=0.18181818181818182, recall=0.8, fmeasure=0.2962962962962963), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.18181818181818182, recall=0.8, fmeasure=0.2962962962962963)}",0.0,Bad
and,"$ AO_ { 1,4 } $",",",0,2310.14531,arxiv2023,15, AO subscript open brace 1 comma 4 close brace ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5)}",0.0,Bad
which entails,$ e^S \sim T $,", does not imply a vanishing",0,2310.12264,arxiv2023,14, e to the power of S similar to T ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=0.75, fmeasure=0.46153846153846156), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=0.75, fmeasure=0.46153846153846156)}",0.0,Bad
and,$ n\in \frac { 1 } { 2 } \mathbb { Z } . $,%,0,2308.04993,arxiv2023,42, n in frac open brace 1 close brace open brace 2 close brace blackboard bold font open brace Z close brace point ,1,"{'rouge1': Score(precision=0.2727272727272727, recall=0.8571428571428571, fmeasure=0.41379310344827586), 'rouge2': Score(precision=0.09523809523809523, recall=0.3333333333333333, fmeasure=0.14814814814814814), 'rougeL': Score(precision=0.2727272727272727, recall=0.8571428571428571, fmeasure=0.41379310344827586)}",0.14814814814814814,Bad
and let,$ \mu=\mu_N $,denote the uniform distribution on,0,2304.02588,arxiv2023,13, mu equals mu subscript N ,1,"{'rouge1': Score(precision=0.6, recall=1.0, fmeasure=0.7499999999999999), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.6, recall=1.0, fmeasure=0.7499999999999999)}",0.0,Bad
,$ \rm { m^3 { kg } ^ { -1 } s^ { -2 } } $,is Newton 's gravitational constant ;,0,2303.08838,arxiv2023,41, roman open brace m to the power of 3 open brace kg close brace to the power of open brace minus 1 close brace s to the power of open brace minus 2 close brace close brace ,1,"{'rouge1': Score(precision=0.16216216216216217, recall=0.8571428571428571, fmeasure=0.27272727272727276), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16216216216216217, recall=0.8571428571428571, fmeasure=0.27272727272727276)}",0.0,Bad
q,$ should not exceed some threshold $,q_0,0,2305.08041,arxiv2023,36, should not exceed some threshold ,1,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",1.0,Good
has,"$ e ( V ( H ) , X ) \ge 3 $",", but we get a better bound by considering straddling cycles . It follows from our assumptions that every",0,2309.00704,arxiv2023,27, e open parenthesis V open parenthesis H close parenthesis comma X close parenthesis greater than or equal to 3 ,1,"{'rouge1': Score(precision=0.2631578947368421, recall=0.8333333333333334, fmeasure=0.39999999999999997), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2631578947368421, recall=0.8333333333333334, fmeasure=0.39999999999999997)}",0.0,Bad
&,$ 0.0008653 ( ^ { +12 } _ { -10 } ) $,,0,2309.016,arxiv2023,37, 0 point 0008653 open parenthesis to the power of open brace plus 12 close brace subscript open brace minus 10 close brace close parenthesis ,1,"{'rouge1': Score(precision=0.16666666666666666, recall=1.0, fmeasure=0.2857142857142857), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=1.0, fmeasure=0.2857142857142857)}",0.0,Bad
This is possible by making,$ m_ { views } $,copies of,0,2310.06645,arxiv2023,16, m subscript open brace views close brace ,1,"{'rouge1': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445)}",0.0,Bad
into strings of size,$ \frac { |m| } { 2 } $,". Clearly , the number representing this substring is less than",0,2302.07207,arxiv2023,23, frac open brace vertical bar m vertical bar close brace open brace 2 close brace ,1,"{'rouge1': Score(precision=0.2, recall=1.0, fmeasure=0.33333333333333337), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=1.0, fmeasure=0.33333333333333337)}",0.0,Bad
is the SNR when the distance between transceiver and receiver is,$ \rm { A } ( m ) $,", the SNR in",0,2305.10184,arxiv2023,19, roman open brace A close brace open parenthesis m close parenthesis ,1,"{'rouge1': Score(precision=0.18181818181818182, recall=0.6666666666666666, fmeasure=0.28571428571428575), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.18181818181818182, recall=0.6666666666666666, fmeasure=0.28571428571428575)}",0.0,Bad
and constant generalized mean curvature is the equilibrium condition,$ \dd { P } = 0 $,if,0,2309.17159,arxiv2023,17, differential open brace P close brace equals 0 ,1,"{'rouge1': Score(precision=0.25, recall=0.6666666666666666, fmeasure=0.36363636363636365), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.6666666666666666, fmeasure=0.36363636363636365)}",0.0,Bad
and,$ y=\theta_2=1 $,. This comes from the fact that,0,2307.12923,arxiv2023,16, y equals theta subscript 2 equals 1 ,1,"{'rouge1': Score(precision=0.5714285714285714, recall=1.0, fmeasure=0.7272727272727273), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5714285714285714, recall=1.0, fmeasure=0.7272727272727273)}",0.0,Bad
k,$ nodes with the largest $,,0,2306.16847,arxiv2023,26, nodes with the largest ,1,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",1.0,Good
and any,$ m'_i\in M_i $,. For a mechanism,0,2302.09548,arxiv2023,15, m' subscript i in M subscript i ,1,"{'rouge1': Score(precision=0.7142857142857143, recall=1.0, fmeasure=0.8333333333333333), 'rouge2': Score(precision=0.3333333333333333, recall=0.5, fmeasure=0.4), 'rougeL': Score(precision=0.7142857142857143, recall=1.0, fmeasure=0.8333333333333333)}",0.4,Good
&,$ 0.527\pm 0.051 $,,0,2303.07811,arxiv2023,18, 0 point 527 plus or minus 0 point 051 ,1,"{'rouge1': Score(precision=0.4444444444444444, recall=0.8, fmeasure=0.5714285714285714), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4444444444444444, recall=0.8, fmeasure=0.5714285714285714)}",0.0,Bad
the kernel section,$ k_t\in \mathcal { H } _k $,centered at,0,2307.13999,arxiv2023,28, k subscript t in calligraphic font open brace H close brace subscript k ,1,"{'rouge1': Score(precision=0.38461538461538464, recall=0.8333333333333334, fmeasure=0.5263157894736842), 'rouge2': Score(precision=0.08333333333333333, recall=0.2, fmeasure=0.11764705882352941), 'rougeL': Score(precision=0.38461538461538464, recall=0.8333333333333334, fmeasure=0.5263157894736842)}",0.11764705882352941,Bad
are given by,$ w_k=L_\gamma ( Ax_k+Bu_k ) $,. % we have from Lemma~,0,2310.17033,arxiv2023,30, w subscript k equals L subscript gamma open parenthesis Ax subscript k plus Bu subscript k close parenthesis ,1,"{'rouge1': Score(precision=0.4444444444444444, recall=1.0, fmeasure=0.6153846153846153), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4444444444444444, recall=1.0, fmeasure=0.6153846153846153)}",0.0,Bad
and,$ 0 \leq C_\epsilon < \infty $,.,0,2305.19089,arxiv2023,30, 0 less than or equal to C subscript epsilon less than infty ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=0.8, fmeasure=0.47058823529411764), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=0.8, fmeasure=0.47058823529411764)}",0.0,Bad
&,$ { 50.84\ % } $,&,0,2312.05611,arxiv2023,16, open brace 50 point 84 percent close brace ,1,"{'rouge1': Score(precision=0.25, recall=1.0, fmeasure=0.4), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=1.0, fmeasure=0.4)}",0.0,Bad
and,$ E_2 ( \phi ( Z ' ) ) $,should be as close as possible for the purpose of classification . So we use the MSE loss to define the identity similarity loss to punish the differences between the,0,2308.10262,arxiv2023,24, E subscript 2 open parenthesis phi open parenthesis Z ' close parenthesis close parenthesis ,1,"{'rouge1': Score(precision=0.3076923076923077, recall=1.0, fmeasure=0.47058823529411764), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3076923076923077, recall=1.0, fmeasure=0.47058823529411764)}",0.0,Bad
em,$ a^\dagger_1a^\dagger_3a_1a_3 $,,0,2311.02533,arxiv2023,32, a to the power of dagger subscript 1a to the power of dagger subscript 3a subscript 1a subscript 3 ,1,"{'rouge1': Score(precision=0.3684210526315789, recall=1.0, fmeasure=0.5384615384615384), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3684210526315789, recall=1.0, fmeasure=0.5384615384615384)}",0.0,Bad
,$ be the class of neural networks with the same architecture as those in $,,0,2312.05579,arxiv2023,74, be the class of neural networks with the same architecture as those in ,1,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",1.0,Good
,"$ . Thus , for each node $",i,0,2305.09965,arxiv2023,26, point Thus comma for each node ,1,"{'rouge1': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8), 'rouge2': Score(precision=0.4, recall=0.6666666666666666, fmeasure=0.5), 'rougeL': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8)}",0.5,Good
that contains,$ 1^M $,and is closed under,0,2310.17295,arxiv2023,7, 1 to the power of M ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5)}",0.0,Bad
For convenience we often write,"$ \iota_ { i , i } $",to denote the identity .,0,2304.09307,arxiv2023,20, iota subscript open brace i comma i close brace ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5)}",0.0,Bad
so we must have,$ U=X ' $,if,0,2301.09426,arxiv2023,9, U equals X ' ,1,"{'rouge1': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8)}",0.0,Bad
,$ and the same for versions of $,,0,2308.07438,arxiv2023,32, and the same for versions of ,1,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",1.0,Good
with an NSR,$ < \ ! \ ! 1 $,", hinder learning . The eigentask-learning approach naturally allows one to decompose the outputs from quantum measurements into a compressed basis with known noise properties , and then select the",0,2307.16083,arxiv2023,15, less than factorial factorial 1 ,1,"{'rouge1': Score(precision=0.2, recall=1.0, fmeasure=0.33333333333333337), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=1.0, fmeasure=0.33333333333333337)}",0.0,Bad
% % % % % % % % % % % % % % % % % % % % % % % % % The differential branching ratio for,$ K^\pm \to \pi^\pm \nu \bar { \nu } $,can be written as,0,2305.13851,arxiv2023,38, K to the power of plus or minus tends to pi to the power of plus or minus nu overline open brace nu close brace ,1,"{'rouge1': Score(precision=0.2, recall=0.625, fmeasure=0.30303030303030304), 'rouge2': Score(precision=0.041666666666666664, recall=0.14285714285714285, fmeasure=0.06451612903225806), 'rougeL': Score(precision=0.2, recall=0.625, fmeasure=0.30303030303030304)}",0.06451612903225806,Bad
